[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=29, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-29 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=18, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-18 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=7, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-7 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=34, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-34 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=45, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-45 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=23, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-23 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=26, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-26 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=15, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-15 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=4, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-4 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=42, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-42 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=20, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-20 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=31, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-31 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=9, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-9 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=1, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-1 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=12, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-12 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=17, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-17 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=28, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-28 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=6, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-6 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=39, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-39 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=44, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-44 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=36, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-36 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=47, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-47 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=14, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-14 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=3, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-3 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=25, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-25 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=41, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-41 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=30, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-30 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=11, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-11 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=33, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-33 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=22, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-22 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:46:57,044] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='__consumer_offsets', partitionIndex=0, controllerEpoch=2, leader=0, leaderEpoch=8, isr=[0], zkVersion=8, replicas=[0], offlineReplicas=[]) for partition __consumer_offsets-0 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 32 (state.change.logger)
[2020-02-13 14:47:00,715] TRACE [Broker id=1] Cached leader info UpdateMetadataPartitionState(topicName='packetmonitor2', partitionIndex=0, controllerEpoch=2, leader=2, leaderEpoch=4, isr=[2, 1, 0], zkVersion=8, replicas=[2, 0, 1], offlineReplicas=[]) for partition packetmonitor2-0 in response to UpdateMetadata request sent by controller 2 epoch 2 with correlation id 33 (state.change.logger)
